Job_Title,Skills,Education_Level,Preferred_Location,Experience
DevOps Engineer,"Jenkins, Ansible, Terraform, CI/CD, Docker, Git",MBA,Mumbai,8
Frontend Developer,"HTML, Next.js, Redux, TypeScript",B.Sc,Remote,4
Full Stack Developer,"Git, REST APIs, MongoDB, JavaScript, CSS",B.Sc,Chennai,9
DevOps Engineer,"Docker, Git, Terraform, AWS, Jenkins, CI/CD",B.Tech,Chennai,5
Data Scientist,"NumPy, Deep Learning, Matplotlib, Statistics, Python, SQL, Pandas",MCA,Delhi,3
Cloud Engineer,"CloudFormation, Docker, CI/CD, Azure, Terraform, AWS",B.Sc,Mumbai,3
Product Manager,"Wireframing, Agile, KPIs, Product Strategy, Scrum, A/B Testing, Jira",MCA,Chennai,0
UI/UX Designer,"Design Thinking, Sketch, CSS, Wireframes",M.Sc,Delhi,5
IT Project Manager,"Team Management, Budget Management, Client Communication, Scrum",M.Tech,Mumbai,2
Technical Support Engineer,"Troubleshooting, Ticketing Systems, Networking, Hardware, Remote Support, Email Support, Linux",M.Tech,Chennai,12
Machine Learning Engineer,"Deep Learning, Scikit-Learn, ML Algorithms, TensorFlow, Keras, Pandas, Python",M.Tech,Pune,6
Software Engineer,"Agile, System Design, Java, Git, SQL, Python, Algorithms",M.Tech,Delhi,2
HR Executive,"HRMS, Employee Relations, Onboarding, Interview Scheduling, Recruitment, Attendance Management",MCA,Remote,11
Backend Developer,"Spring Boot, Git, MongoDB, REST APIs, Node.js, Java",B.Tech,Bangalore,5
Software Engineer,"Agile, Debugging, OOP, System Design",MBA,Mumbai,1
Backend Developer,"Java, MongoDB, MySQL, Node.js, AWS",B.Sc,Bangalore,8
Data Scientist,"Python, SQL, Scikit-Learn, TensorFlow, Data Visualization",B.Tech,Delhi,2
Cybersecurity Analyst,"Wireshark, Firewalls, Kali Linux, Incident Response, Risk Assessment, SIEM, Nmap",B.Tech,Remote,4
Frontend Developer,"Tailwind CSS, CSS, React, Responsive Design, JavaScript, TypeScript, HTML",MBA,Bangalore,8
DevOps Engineer,"Kubernetes, Ansible, Linux, Monitoring, Git",B.Tech,Pune,8
Backend Developer,"Express.js, Git, Node.js, Java, REST APIs, AWS, MongoDB",MCA,Delhi,2
Cloud Engineer,"Terraform, Kubernetes, CI/CD, Docker",MCA,Hyderabad,9
Data Scientist,"Python, Scikit-Learn, SQL, Data Visualization, TensorFlow, NumPy",B.Tech,Mumbai,6
HR Executive,"HRMS, Onboarding, Recruitment, Exit Formalities",M.Tech,Remote,1
Data Analyst,"Dashboarding, SQL, Power BI, Excel, Tableau",MBA,Chennai,9
HR Executive,"Recruitment, Attendance Management, Employee Relations, Compliance",M.Tech,Mumbai,10
Cloud Engineer,"CI/CD, Monitoring, Azure, Linux",M.Tech,Remote,12
Full Stack Developer,"REST APIs, Docker, MongoDB, CSS, React",M.Tech,Delhi,1
UI/UX Designer,"HTML, Responsive Design, Adobe XD, Wireframes, User Research, Design Thinking, Sketch",M.Sc,Pune,7
Full Stack Developer,"Node.js, HTML, Docker, JavaScript, Git",MBA,Chennai,4
Product Manager,"Jira, KPIs, A/B Testing, Product Strategy",B.Sc,Delhi,11
HR Executive,"Payroll, Attendance Management, Exit Formalities, Interview Scheduling",M.Tech,Mumbai,8
IT Project Manager,"Scrum, Team Management, Agile, Project Planning",MBA,Mumbai,3
Cybersecurity Analyst,"Network Security, Firewalls, Wireshark, Risk Assessment, Kali Linux, Incident Response",M.Tech,Bangalore,7
Database Administrator,"PostgreSQL, Performance Tuning, Oracle, Replication, SQL Queries",MBA,Bangalore,12
Data Analyst,"Data Cleaning, Dashboarding, SQL, Pandas, Python",M.Sc,Remote,7
Data Analyst,"Data Cleaning, Statistics, Tableau, Power BI",MBA,Bangalore,10
Backend Developer,"AWS, REST APIs, Git, MongoDB",B.Sc,Remote,12
Machine Learning Engineer,"ML Algorithms, TensorFlow, Model Deployment, AWS, PyTorch, Pandas",M.Tech,Remote,2
Backend Developer,"MySQL, AWS, Node.js, Docker",B.Tech,Delhi,10
Technical Support Engineer,"Documentation, Customer Support, Networking, Windows OS, Email Support, Remote Support, Ticketing Systems",M.Tech,Chennai,10
Data Analyst,"Python, Excel, Tableau, Statistics, Dashboarding, SQL, Power BI",M.Sc,Hyderabad,5
DevOps Engineer,"Docker, Ansible, AWS, CI/CD, Kubernetes, Git, Linux",MCA,Remote,10
Backend Developer,"Express.js, MySQL, Java, Node.js",B.Tech,Chennai,10
DevOps Engineer,"Linux, AWS, Git, Kubernetes, Docker, Monitoring, Terraform",MBA,Bangalore,6
Backend Developer,"Java, MongoDB, Spring Boot, Docker",M.Tech,Chennai,10
Business Analyst,"Use Cases, Power BI, SQL, Stakeholder Communication, Tableau, Excel, Data Analysis",M.Tech,Chennai,6
Machine Learning Engineer,"AWS, Keras, PyTorch, ML Algorithms, Scikit-Learn, Model Deployment, Deep Learning",MBA,Remote,8
Frontend Developer,"TypeScript, Tailwind CSS, React, Bootstrap, Redux, HTML, JavaScript",MBA,Remote,11
Machine Learning Engineer,"ML Algorithms, PyTorch, Keras, Python, Scikit-Learn",MBA,Chennai,4
HR Executive,"HR Policies, HRMS, Recruitment, Onboarding",B.Sc,Delhi,10
DevOps Engineer,"CI/CD, AWS, Linux, Ansible, Terraform, Git, Kubernetes",MBA,Remote,9
HR Executive,"Recruitment, HRMS, Employee Relations, Interview Scheduling, Payroll, Attendance Management",M.Sc,Hyderabad,11
Technical Support Engineer,"Customer Support, Linux, Email Support, Documentation, Windows OS, Remote Support, Hardware",M.Sc,Chennai,12
Data Analyst,"Statistics, Tableau, Data Modeling, Python, Excel, Pandas, SQL",B.Tech,Pune,0
Backend Developer,"Docker, Java, Git, MySQL, Spring Boot",MCA,Delhi,1
Frontend Developer,"Tailwind CSS, Redux, CSS, JavaScript, Responsive Design, Bootstrap, React",MCA,Pune,0
QA Engineer,"TestNG, Bug Tracking, Manual Testing, API Testing, Performance Testing",M.Sc,Pune,6
Cloud Engineer,"CI/CD, Linux, Kubernetes, Terraform, Monitoring",MCA,Remote,2
Cloud Engineer,"Monitoring, AWS, Docker, Kubernetes, CI/CD, Terraform, Azure",B.Tech,Pune,4
DevOps Engineer,"Git, Terraform, Kubernetes, AWS",M.Tech,Mumbai,10
Data Scientist,"Deep Learning, SQL, Data Visualization, Pandas, Matplotlib, NumPy",M.Sc,Hyderabad,10
Product Manager,"User Stories, Agile, Product Strategy, Stakeholder Management, Roadmap Planning",M.Sc,Chennai,11
Full Stack Developer,"Git, Node.js, HTML, REST APIs",M.Sc,Remote,7
IT Project Manager,"Client Communication, Team Management, Budget Management, Agile, Timeline Tracking, Reporting, Scrum",MCA,Bangalore,10
Product Manager,"Agile, Wireframing, Stakeholder Management, A/B Testing",M.Sc,Chennai,12
HR Executive,"Onboarding, Employee Relations, Recruitment, Payroll, HRMS, HR Policies, Attendance Management",B.Tech,Mumbai,8
QA Engineer,"Test Cases, Performance Testing, Regression Testing, API Testing, Bug Tracking",M.Tech,Hyderabad,11
AI Researcher,"PyTorch, Computer Vision, Deep Learning, ML Frameworks",M.Tech,Remote,6
Frontend Developer,"Tailwind CSS, JavaScript, Responsive Design, HTML",M.Sc,Hyderabad,4
DevOps Engineer,"Jenkins, CI/CD, Docker, AWS",MBA,Hyderabad,7
Backend Developer,"Node.js, Spring Boot, MySQL, Java, AWS",M.Tech,Delhi,10
System Administrator,"DNS, Linux, Virtualization, Firewall, Monitoring, Active Directory",B.Sc,Pune,6
System Administrator,"Networking, Monitoring, Virtualization, DNS, Linux, Backup Management, Shell Scripting",B.Sc,Chennai,11
Backend Developer,"Spring Boot, Java, Git, REST APIs",B.Tech,Hyderabad,6
Software Engineer,"Debugging, OOP, Python, Data Structures",M.Sc,Chennai,5
AI Researcher,"Python, Mathematical Modeling, ML Frameworks, Data Generation",M.Sc,Chennai,3
QA Engineer,"TestNG, Regression Testing, Test Cases, Manual Testing, Performance Testing, API Testing, Selenium",M.Sc,Chennai,12
Cloud Engineer,"CI/CD, Linux, AWS, Terraform, Docker, GCP",M.Sc,Hyderabad,3
Cloud Engineer,"CloudFormation, Docker, Monitoring, GCP, Terraform, Kubernetes, Linux",MBA,Remote,7
Cloud Engineer,"GCP, Terraform, Monitoring, Docker",M.Sc,Remote,12
Cloud Engineer,"Monitoring, Linux, CI/CD, Azure, AWS, CloudFormation, Kubernetes",MBA,Mumbai,2
Database Administrator,"Indexing, Oracle, PostgreSQL, Performance Tuning, SQL Queries",M.Sc,Hyderabad,10
Data Scientist,"Statistics, Matplotlib, Deep Learning, TensorFlow, Data Visualization, NumPy",M.Sc,Chennai,12
Machine Learning Engineer,"ML Algorithms, Scikit-Learn, Keras, Deep Learning, Model Deployment, Pandas, PyTorch",MBA,Delhi,12
IT Project Manager,"Agile, Team Management, Scrum, Client Communication",M.Sc,Hyderabad,8
Software Engineer,"Agile, Git, Python, Algorithms, Debugging, SQL, Java",M.Sc,Hyderabad,12
Machine Learning Engineer,"ML Algorithms, Pandas, PyTorch, Keras, Deep Learning, TensorFlow, AWS",MCA,Hyderabad,10
QA Engineer,"Selenium, Bug Tracking, Automation Testing, Performance Testing, TestNG, API Testing",B.Tech,Mumbai,1
AI Researcher,"ML Frameworks, PyTorch, Python, Data Generation, TensorFlow, Research Papers",M.Sc,Remote,6
Backend Developer,"Docker, Java, Spring Boot, MySQL, REST APIs, Git",MBA,Delhi,2
System Administrator,"Monitoring, Firewall, Backup Management, Shell Scripting",M.Sc,Mumbai,0
System Administrator,"Shell Scripting, Firewall, Linux, Monitoring, DNS",MCA,Mumbai,4
AI Researcher,"Deep Learning, Python, ML Frameworks, Natural Language Processing, TensorFlow, Research Papers",B.Tech,Mumbai,12
AI Researcher,"Data Generation, Computer Vision, Research Papers, PyTorch, Natural Language Processing",MCA,Remote,10
Cloud Engineer,"Azure, Docker, Terraform, CI/CD, CloudFormation, AWS",B.Tech,Mumbai,4
IT Project Manager,"Team Management, Project Planning, Scrum, Client Communication",MCA,Chennai,11
HR Executive,"Payroll, Interview Scheduling, Exit Formalities, HRMS",MCA,Bangalore,5
Cloud Engineer,"Linux, AWS, Monitoring, Azure, Terraform",M.Sc,Delhi,9
System Administrator,"Linux, Firewall, Shell Scripting, DNS",M.Sc,Hyderabad,2
Database Administrator,"Indexing, Database Security, Monitoring, Replication, MySQL",B.Sc,Bangalore,4
IT Project Manager,"Risk Management, Agile, Reporting, Timeline Tracking, JIRA, Project Planning",M.Tech,Mumbai,4
QA Engineer,"TestNG, JIRA, Automation Testing, Test Cases, API Testing, Regression Testing, Selenium",M.Sc,Mumbai,3
UI/UX Designer,"Sketch, Adobe XD, Figma, Responsive Design, Wireframes, CSS",M.Tech,Chennai,0
Cloud Engineer,"CI/CD, Linux, Docker, Azure, GCP, AWS",B.Sc,Delhi,0
Frontend Developer,"Redux, Responsive Design, JavaScript, React, Next.js, TypeScript, Bootstrap",M.Sc,Delhi,6
Database Administrator,"Performance Tuning, MySQL, Replication, Monitoring",M.Tech,Delhi,12
Data Scientist,"Data Visualization, Statistics, TensorFlow, Deep Learning",M.Tech,Chennai,4
QA Engineer,"Performance Testing, JIRA, TestNG, Regression Testing",B.Sc,Chennai,12
Technical Support Engineer,"Email Support, Windows OS, Hardware, Remote Support, Ticketing Systems, Customer Support",MCA,Mumbai,9
Backend Developer,"Docker, MySQL, Java, Spring Boot, MongoDB, Git",MBA,Remote,7
Data Scientist,"Deep Learning, Data Visualization, Pandas, NumPy, Statistics",M.Tech,Mumbai,10
AI Researcher,"TensorFlow, ML Frameworks, Mathematical Modeling, Data Generation, Python, Research Papers, Deep Learning",B.Sc,Remote,2
Data Scientist,"Pandas, TensorFlow, Scikit-Learn, SQL, NumPy",MBA,Remote,11
DevOps Engineer,"CI/CD, Linux, Terraform, Monitoring, Kubernetes, Docker, Git",M.Sc,Pune,7
System Administrator,"Networking, Windows Server, Active Directory, Firewall",MBA,Hyderabad,0
Software Engineer,"Algorithms, Python, System Design, Java, OOP",M.Tech,Pune,3
Cybersecurity Analyst,"Ethical Hacking, Network Security, Incident Response, Vulnerability Assessment, Risk Assessment, Wireshark",MCA,Chennai,7
Backend Developer,"MySQL, MongoDB, REST APIs, Spring Boot",B.Tech,Chennai,8
DevOps Engineer,"CI/CD, Jenkins, Ansible, Terraform, Monitoring, AWS",B.Tech,Chennai,10
Data Analyst,"Data Modeling, Statistics, Tableau, Power BI, SQL",M.Sc,Chennai,4
Data Analyst,"Dashboarding, Excel, SQL, Pandas",B.Tech,Pune,12
System Administrator,"Windows Server, Linux, Monitoring, Backup Management, Firewall, Networking",MCA,Hyderabad,3
System Administrator,"Networking, Active Directory, Backup Management, Windows Server, Linux, Monitoring, DNS",B.Tech,Remote,4
Machine Learning Engineer,"ML Algorithms, TensorFlow, Model Deployment, Python, AWS",M.Tech,Hyderabad,10
DevOps Engineer,"Docker, Jenkins, AWS, Kubernetes",MBA,Remote,4
DevOps Engineer,"Monitoring, AWS, Docker, Ansible, Terraform",MCA,Hyderabad,11
Cybersecurity Analyst,"SIEM, Wireshark, Firewalls, Nmap",M.Tech,Chennai,12
Technical Support Engineer,"Troubleshooting, Documentation, Windows OS, Hardware, Email Support, Ticketing Systems, Networking",MBA,Delhi,0
QA Engineer,"Manual Testing, JIRA, Automation Testing, Bug Tracking, API Testing, TestNG, Selenium",MBA,Hyderabad,2
Cloud Engineer,"AWS, Monitoring, CI/CD, Terraform, GCP, Docker",MBA,Delhi,2
Data Analyst,"Pandas, Python, Dashboarding, Tableau, Excel, SQL",B.Tech,Pune,4
AI Researcher,"PyTorch, Computer Vision, Python, Data Generation, Natural Language Processing, TensorFlow",MCA,Mumbai,1
Product Manager,"Roadmap Planning, Wireframing, User Stories, Scrum",MBA,Mumbai,1
UI/UX Designer,"User Research, CSS, HTML, Adobe XD",MCA,Chennai,1
AI Researcher,"Python, Research Papers, ML Frameworks, PyTorch",B.Sc,Hyderabad,9
QA Engineer,"Performance Testing, API Testing, Bug Tracking, Selenium, JIRA, Test Cases",B.Sc,Remote,12
IT Project Manager,"Team Management, Client Communication, Reporting, Agile, Budget Management, Project Planning, Timeline Tracking",M.Sc,Chennai,4
Product Manager,"User Stories, Stakeholder Management, Wireframing, A/B Testing, Jira, KPIs",M.Tech,Chennai,6
Product Manager,"Wireframing, KPIs, Jira, Product Strategy, A/B Testing",M.Sc,Delhi,4
Business Analyst,"Excel, Power BI, Data Analysis, SQL, Use Cases",M.Sc,Chennai,6
Business Analyst,"Tableau, SQL, Data Analysis, Power BI, Stakeholder Communication",B.Sc,Remote,7
Backend Developer,"Git, MySQL, Spring Boot, Java, Express.js, REST APIs",MCA,Mumbai,8
QA Engineer,"TestNG, Performance Testing, API Testing, Regression Testing",MBA,Delhi,12
Business Analyst,"SQL, Power BI, Stakeholder Communication, Process Modeling, Excel",B.Sc,Pune,5
Frontend Developer,"Responsive Design, React, HTML, Tailwind CSS, Bootstrap, CSS",M.Tech,Bangalore,9
Database Administrator,"Performance Tuning, MySQL, PostgreSQL, Monitoring, Oracle, Backup & Recovery",M.Tech,Bangalore,12
Data Analyst,"Tableau, Data Cleaning, Data Modeling, Statistics",B.Sc,Pune,11
Database Administrator,"MySQL, Performance Tuning, Oracle, Backup & Recovery, PostgreSQL",M.Tech,Delhi,2
HR Executive,"Exit Formalities, HRMS, Recruitment, HR Policies, Compliance",B.Sc,Bangalore,6
Full Stack Developer,"Git, HTML, CSS, JavaScript",MBA,Delhi,1
UI/UX Designer,"Responsive Design, HTML, Figma, Prototyping, Sketch, Adobe XD",M.Sc,Delhi,11
Database Administrator,"PostgreSQL, MySQL, SQL Queries, Backup & Recovery, Monitoring",MCA,Mumbai,10
Business Analyst,"Power BI, Data Analysis, Process Modeling, Excel, Tableau, Documentation",MBA,Mumbai,2
Technical Support Engineer,"Troubleshooting, Ticketing Systems, Documentation, Customer Support, Hardware, Linux",B.Sc,Mumbai,4
Cybersecurity Analyst,"Ethical Hacking, Nmap, Risk Assessment, Incident Response",M.Tech,Hyderabad,2
UI/UX Designer,"Adobe XD, CSS, Figma, Design Thinking, Responsive Design, Wireframes",M.Tech,Mumbai,12
Technical Support Engineer,"Customer Support, Documentation, Ticketing Systems, Email Support, Windows OS, Troubleshooting, Linux",M.Tech,Chennai,9
Data Analyst,"Dashboarding, Power BI, Statistics, Python, SQL",M.Sc,Chennai,7
System Administrator,"Firewall, Virtualization, Backup Management, Shell Scripting, Windows Server, Active Directory, Networking",B.Tech,Delhi,12
Backend Developer,"Spring Boot, Express.js, Node.js, MongoDB, REST APIs",B.Sc,Chennai,12
Data Scientist,"Pandas, SQL, Scikit-Learn, Matplotlib, Python, Data Visualization, TensorFlow",MBA,Bangalore,6
Cloud Engineer,"CloudFormation, CI/CD, Terraform, Azure",MCA,Delhi,4
Software Engineer,"SQL, Data Structures, Algorithms, Debugging",MCA,Bangalore,10
Full Stack Developer,"React, Git, HTML, MongoDB, REST APIs",M.Sc,Bangalore,12
Software Engineer,"OOP, Algorithms, Debugging, Git, System Design",M.Tech,Pune,9
Backend Developer,"Git, Docker, MongoDB, AWS, Express.js, Spring Boot",B.Tech,Delhi,10
Cybersecurity Analyst,"Vulnerability Assessment, Network Security, Nmap, Ethical Hacking, Wireshark",MCA,Remote,0
HR Executive,"Attendance Management, Compliance, Payroll, Onboarding, Employee Relations",B.Tech,Delhi,2
Database Administrator,"Performance Tuning, Backup & Recovery, MySQL, Replication, SQL Queries",B.Sc,Bangalore,4
QA Engineer,"Automation Testing, Regression Testing, Bug Tracking, Performance Testing, Manual Testing, JIRA, Selenium",B.Sc,Chennai,11
Machine Learning Engineer,"Model Deployment, TensorFlow, Python, ML Algorithms, PyTorch, Keras",M.Tech,Delhi,1
